epoch,dataset,run,val_epoch_ce,val_epoch_nll
42,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8189314533682435,
43,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.819026512258193,
44,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.819148596595316,
45,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.818619475645177,
46,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.818068434210384,
47,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.812955533756929,
48,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.811027625027825,
49,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.816843131009271,
50,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8183194609249345,
51,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.812794853659237,
52,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.818593277650721,
53,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.812666219823501,
54,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8184562991647155,
55,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.814453223172356,
56,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.809235727085786,
57,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.812593950944788,
58,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.809935583787806,
59,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.806913109386668,
60,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.807662711423986,
